City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yellowknife,62.456,-114.3525,10.23,100,100,1.54,CA,1695796867
83,fort st. john,56.2499,-120.8529,9.94,62,40,4.12,CA,1695796884
84,kodiak,57.79,-152.4072,7.73,46,100,4.22,US,1695796884
85,pandan,14.0453,124.1694,29.81,68,2,3.68,PH,1695796884
86,kerikeri,-35.2268,173.9474,14.95,84,36,3.7,NZ,1695796884
87,hami,42.8,93.45,21.95,22,8,5.19,CN,1695796758
88,kas,36.2018,29.6377,30.17,43,0,2.43,TR,1695796884
89,yanam,16.7333,82.2167,31.2,72,45,2.05,IN,1695796885
90,santa cruz,-17.8,-63.1667,24.7,73,100,7.2,BO,1695796774
91,avarua,-21.2078,-159.775,22.03,83,75,7.72,CK,1695796885
92,stanley,54.868,-1.6985,9.84,92,0,1.54,GB,1695796885
93,severo-yeniseyskiy,60.3725,93.0408,9.39,51,5,5.5,RU,1695796885
94,vila franca do campo,37.7167,-25.4333,20.23,91,83,0.44,PT,1695796885
95,fiditi,7.7136,3.9172,23.47,95,100,1.84,NG,1695796886
96,margate,51.3813,1.3862,16.61,95,100,0.89,GB,1695796886
97,salamanca,40.8333,-6.0,16.46,50,63,2.22,ES,1695796616
98,sisimiut,66.9395,-53.6735,0.71,86,100,5.13,GL,1695796886
99,yeppoon,-23.1333,150.7333,28.88,59,0,5.2,AU,1695796886
100,kashary,49.04,41.0056,24.61,24,0,3.67,RU,1695796887
101,gamba,-2.65,10.0,24.51,89,100,2.8,GA,1695796887
102,puerto aysen,-45.4,-72.7,5.54,100,100,2.74,CL,1695796887
103,greymouth,-42.4667,171.2,8.74,83,100,0.12,NZ,1695796887
104,crawfordsville,40.0411,-86.8745,17.95,82,40,2.06,US,1695796887
105,monrovia,6.3005,-10.7969,24.87,87,5,1.29,LR,1695796887
106,itoman,26.1247,127.6694,32.43,64,40,5.66,JP,1695796888
107,mandalgovi,45.7625,106.2708,10.44,27,7,4.99,MN,1695796888
108,shimoda,34.6667,138.95,28.2,75,27,5.16,JP,1695796888
109,guiuan,11.0333,125.7247,29.11,72,28,3.71,PH,1695796888
110,pantai remis,4.4557,100.6288,31.48,61,100,5.51,MY,1695796888
111,atafu village,-8.5421,-172.5159,28.37,68,97,1.86,TK,1695796888
112,lubumbashi,-11.6609,27.4794,28.62,22,0,2.37,CD,1695796889
113,brush,40.2589,-103.6238,14.71,82,0,3.6,US,1695796889
114,arkhangel'sk,64.5401,40.5433,12.9,86,45,4.16,RU,1695796889
115,egilsstadir,65.2653,-14.3948,5.95,93,100,3.09,IS,1695796889
116,baraki barak,33.9675,68.9486,22.06,10,0,0.14,AF,1695796889
117,aleksandrovsk-sakhalinskiy,50.8975,142.1561,15.51,78,70,2.16,RU,1695796890
118,alpine,32.835,-116.7664,18.38,71,0,0.0,US,1695796890
119,fale old settlement,-9.3852,-171.2468,28.4,75,15,3.43,TK,1695796890
120,loreto,22.2667,-101.9667,14.35,75,15,1.75,MX,1695796890
121,kiunga,-6.1219,141.2906,25.47,97,97,1.26,PG,1695796890
122,castro,-24.7911,-50.0119,24.16,53,97,2.35,BR,1695796890
123,port lincoln,-34.7333,135.8667,15.61,59,0,5.37,AU,1695796891
124,susuman,62.7833,148.1667,2.03,79,15,2.03,RU,1695796891
125,kargasok,59.0556,80.8572,8.96,93,100,2.26,RU,1695796891
126,rurrenabaque,-14.4413,-67.5278,27.39,57,100,0.22,BO,1695796891
127,boa vista,2.8197,-60.6733,27.99,65,20,1.03,BR,1695796891
128,qulsary,46.9531,54.0198,25.01,26,11,4.67,KZ,1695796892
129,san patricio,28.017,-97.5169,28.92,73,0,2.04,US,1695796892
130,forster,-32.1667,152.5167,20.77,81,60,4.79,AU,1695796892
131,nuuk,64.1835,-51.7216,4.34,65,100,10.29,GL,1695796892
132,newnham,-41.3833,147.1333,16.03,63,18,10.29,AU,1695796892
133,happy valley-goose bay,53.3168,-60.3315,6.17,81,40,2.57,CA,1695796892
134,praia da vitoria,38.7333,-27.0667,18.75,94,75,1.95,PT,1695796893
135,selfoss,63.9331,-20.9971,7.25,92,100,3.15,IS,1695796893
136,broken hill,-31.95,141.4333,22.7,30,0,8.33,AU,1695796893
137,motueka,-41.1333,173.0167,13.39,92,100,1.77,NZ,1695796894
138,ashoknagar,24.5667,77.7167,31.22,51,6,3.54,IN,1695796894
139,iskateley,67.6803,53.1512,5.02,85,100,4.48,RU,1695796894
140,loch garman,52.3342,-6.4575,15.68,100,100,7.15,IE,1695796756
141,santa isabel,-23.3156,-46.2214,25.61,58,52,1.43,BR,1695796894
142,punta arenas,-53.15,-70.9167,1.06,80,0,2.57,CL,1695796895
143,kuala tungkal,-0.8167,103.4667,32.34,48,5,4.35,ID,1695796895
144,port alfred,-33.5906,26.891,13.99,91,100,2.68,ZA,1695796895
145,wenchang,30.904,118.4887,26.86,81,98,2.44,CN,1695796895
146,linxia chengguanzhen,35.6003,103.2064,17.67,56,99,3.28,CN,1695796895
147,aitape,-3.1374,142.3475,25.99,84,100,0.67,PG,1695796895
148,san rafael,-34.6177,-68.3301,10.2,26,0,3.06,AR,1695796896
149,sierpc,52.8568,19.6691,19.34,52,0,2.95,PL,1695796896
150,uturoa,-16.7333,-151.4333,25.64,79,41,8.12,PF,1695796896
151,menongue,-14.6585,17.691,24.06,14,0,3.35,AO,1695796896
152,ancud,-41.8697,-73.8203,9.18,91,100,8.04,CL,1695796896
153,puerto carreno,6.189,-67.4859,26.19,81,100,1.61,CO,1695796897
154,stephenville,32.2207,-98.2023,23.76,71,0,0.0,US,1695796897
155,laibin,23.7,109.2667,32.63,58,78,2.41,CN,1695796759
156,kiruna,67.8557,20.2251,7.51,81,100,4.12,SE,1695796897
157,hasaki,35.7333,140.8333,26.22,82,95,3.4,JP,1695796897
158,tofol,5.3248,163.0078,25.98,85,100,1.86,FM,1695796897
159,shengli,37.4564,118.4856,24.01,53,100,3.15,CN,1695796898
160,gospic,44.5461,15.3747,19.83,75,4,3.42,HR,1695796898
161,east wenatchee bench,47.4257,-120.2812,11.65,78,0,3.09,US,1695796898
162,harstad,68.799,16.5293,12.67,88,100,10.28,NO,1695796898
163,kill devil hills,36.0307,-75.676,21.66,87,100,5.66,US,1695796898
164,roja,57.5,22.8167,15.69,82,100,4.1,LV,1695796898
165,touros,-5.1989,-35.4608,25.2,66,69,5.13,BR,1695796899
166,ciudad melchor muzquiz,27.8833,-101.5167,24.58,68,4,1.46,MX,1695796899
167,vikhorevka,56.1201,101.1636,15.77,42,29,1.94,RU,1695796899
168,ongjin,37.9347,125.3619,22.92,75,62,6.13,KP,1695796899
169,tukrah,32.5341,20.5791,23.85,62,100,5.73,LY,1695796899
170,baki,-7.6128,110.7839,36.99,20,8,1.54,ID,1695796900
171,le marin,14.4721,-60.8697,26.95,94,75,1.03,MQ,1695796900
172,tromso,69.6496,18.957,12.01,76,75,4.12,NO,1695796900
173,mar del plata,-38.0023,-57.5575,7.83,89,0,2.57,AR,1695796900
174,kapuskasing,49.4169,-82.4331,4.05,100,0,0.0,CA,1695796901
175,spring creek,40.7266,-115.5859,12.39,25,13,1.07,US,1695796901
176,marsa alam,25.0757,34.8918,32.82,42,2,6.64,EG,1695796901
177,hassi messaoud,31.6804,6.0729,19.92,42,0,2.57,DZ,1695796901
178,tabou,4.423,-7.3528,25.1,91,9,1.19,CI,1695796901
179,anna regina,7.2644,-58.5077,26.4,87,10,1.66,GY,1695796901
180,ust-tsilma,65.441,52.1498,8.61,89,100,5.13,RU,1695796901
181,dudinka,69.4058,86.1778,1.46,63,82,7.27,RU,1695796902
182,saint-paul,-21.0096,55.2707,27.22,69,0,0.89,RE,1695796657
183,dubbo,-32.25,148.6167,24.07,15,100,8.75,AU,1695796902
184,labytnangi,66.6572,66.4183,3.76,91,100,3.99,RU,1695796902
185,mudgee,-32.5943,149.5871,24.32,18,100,3.95,AU,1695796640
186,pembroke,45.8168,-77.1162,5.66,93,100,0.92,CA,1695796902
187,new norfolk,-42.7826,147.0587,16.72,64,99,3.52,AU,1695796903
188,dunedin,-45.8742,170.5036,8.22,80,100,1.79,NZ,1695796805
